person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status,person_gender_male,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_Yes
22,16218.0,1,2000.0,5.42,0.12,4,614,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
25,16211.0,2,1750.0,13.61,0.11,3,597,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
25,16378.0,0,3000.0,12.87,0.18,4,603,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
24,16572.0,0,3650.0,9.91,0.22,3,589,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
24,16470.0,2,4500.0,11.83,0.27,4,643,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23,16599.0,0,2400.0,13.49,0.14,2,505,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
25,16395.0,4,3600.0,14.59,0.22,3,646,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22,16890.0,0,4750.0,11.01,0.28,3,645,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
23,17149.0,0,4950.0,7.9,0.29,4,531,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,16916.0,2,1400.0,9.25,0.08,4,615,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,16664.0,0,4500.0,12.98,0.27,4,601,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
23,17755.0,1,4000.0,11.01,0.23,3,580,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
21,18008.0,0,3000.0,11.01,0.17,4,635,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
22,18152.0,0,4000.0,10.99,0.22,3,585,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
25,18449.0,1,5375.0,5.79,0.29,2,645,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
21,18421.0,1,1500.0,11.01,0.08,4,623,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,18512.0,1,4000.0,16.7,0.22,2,566,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
22,18367.0,0,2100.0,11.14,0.11,4,583,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
23,18831.0,0,6000.0,11.01,0.32,4,667,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23,19000.0,2,4475.0,11.01,0.24,4,647,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
23,19175.0,1,1750.0,12.68,0.09,3,587,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
23,19062.0,2,4000.0,13.98,0.21,4,667,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
23,18926.0,0,4600.0,10.99,0.24,2,688,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25,19158.0,4,1750.0,15.31,0.09,4,625,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
23,19065.0,3,3600.0,13.47,0.19,4,540,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
21,18773.0,0,3175.0,11.54,0.17,3,686,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
21,19169.0,2,1500.0,10.59,0.08,2,537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,19312.0,4,2800.0,8.49,0.14,3,661,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,18923.0,0,2500.0,12.53,0.13,3,618,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
21,19414.0,2,1000.0,7.29,0.05,4,681,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
24,19677.0,3,3300.0,6.39,0.17,4,637,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
25,19423.0,3,3200.0,18.09,0.16,2,586,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
23,20044.0,3,6000.0,7.9,0.3,2,618,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
23,20401.0,4,2275.0,13.06,0.11,4,573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23,20421.0,0,5600.0,12.84,0.27,4,587,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,20353.0,2,3625.0,17.14,0.18,2,648,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
22,20297.0,0,5500.0,7.14,0.27,3,687,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
22,20405.0,0,2000.0,12.42,0.1,3,590,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
25,20221.0,5,5000.0,8.94,0.25,4,572,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
23,20678.0,0,4375.0,9.63,0.21,4,528,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
22,20896.0,0,2000.0,10.65,0.1,2,596,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
24,21627.0,0,3900.0,11.01,0.18,3,636,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,21205.0,0,4750.0,13.85,0.22,2,658,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21,21363.0,2,6000.0,10.39,0.28,4,671,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
22,22107.0,4,2250.0,15.27,0.1,3,636,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
22,21790.0,0,1000.0,11.36,0.05,2,686,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
22,21824.0,0,4975.0,11.01,0.23,3,588,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,22364.0,4,3000.0,7.9,0.13,4,672,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
22,22616.0,0,2000.0,11.49,0.09,3,567,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
22,22867.0,3,3500.0,7.49,0.15,4,647,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23,22583.0,1,4000.0,5.99,0.18,2,645,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
21,22882.0,0,4900.0,14.54,0.21,4,674,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
21,22392.0,0,5000.0,11.11,0.22,2,594,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
24,22635.0,3,6250.0,6.54,0.28,4,602,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
23,22957.0,1,2500.0,15.95,0.11,2,594,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
21,22366.0,0,6250.0,10.62,0.28,4,637,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
21,22673.0,0,2500.0,11.36,0.11,3,670,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
22,22564.0,1,4000.0,11.01,0.18,2,684,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
22,22786.0,0,5400.0,15.31,0.24,2,647,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
25,22450.0,4,4000.0,11.01,0.18,3,580,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
21,22666.0,0,3375.0,11.01,0.15,2,630,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
24,22608.0,2,1200.0,11.34,0.05,4,615,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
22,22466.0,0,3000.0,9.96,0.13,3,603,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
24,22789.0,1,3000.0,11.99,0.13,3,663,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
24,23071.0,3,5000.0,9.32,0.22,3,571,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
21,23597.0,0,4200.0,14.11,0.18,4,675,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
25,23627.0,4,3000.0,9.91,0.13,2,649,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,23497.0,0,3625.0,8.49,0.15,3,557,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
21,23543.0,0,6000.0,8.49,0.25,3,631,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24,23667.0,3,7400.0,13.85,0.31,2,662,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
25,23719.0,2,4000.0,7.4,0.17,3,667,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
21,23504.0,0,3500.0,14.61,0.15,3,646,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,24148.0,1,4950.0,11.71,0.2,2,594,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
22,24092.0,0,2400.0,10.59,0.1,3,654,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
24,24420.0,2,7000.0,5.99,0.29,4,694,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25,23948.0,3,3000.0,11.99,0.13,4,587,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
22,23993.0,1,5000.0,14.17,0.21,2,691,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,23888.0,0,1400.0,14.91,0.06,4,535,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,24013.0,0,3000.0,11.01,0.12,4,604,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25,24121.0,1,1000.0,11.01,0.04,3,612,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
26,24297.0,3,4000.0,7.51,0.16,4,678,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
22,23973.0,0,5000.0,15.33,0.21,3,571,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
26,24183.0,5,7500.0,11.97,0.31,2,621,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,23664.0,1,6250.0,6.17,0.26,3,637,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,24872.0,0,2100.0,8.38,0.08,4,630,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
23,24766.0,0,5000.0,11.71,0.2,4,649,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
23,25168.0,0,6400.0,10.65,0.25,4,638,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,25012.0,3,4800.0,5.99,0.19,3,682,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
25,25295.0,3,5650.0,15.99,0.22,2,637,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
23,24930.0,0,3625.0,11.01,0.15,3,662,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,25141.0,0,1200.0,7.49,0.05,3,700,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
22,24521.0,0,7500.0,5.79,0.31,4,612,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
25,25654.0,6,4000.0,5.79,0.16,2,725,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,25229.0,1,5000.0,14.72,0.2,3,604,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
26,24569.0,4,1500.0,7.74,0.06,3,570,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
23,24853.0,0,7125.0,6.99,0.29,2,631,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
23,24853.0,0,2500.0,16.82,0.1,2,524,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
26,24751.0,2,3600.0,11.01,0.15,2,669,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
21,25666.0,0,3550.0,11.01,0.14,4,693,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1
26,25229.0,3,7000.0,8.0,0.28,2,626,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
24,25451.0,3,7750.0,6.91,0.3,3,594,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
22,25537.0,0,6000.0,15.99,0.23,4,623,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,25526.0,1,5500.0,10.99,0.22,4,661,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,25416.0,1,1275.0,15.23,0.05,3,626,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
21,25710.0,0,2400.0,11.49,0.09,4,623,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
22,25644.0,2,3800.0,11.01,0.15,3,645,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
24,25992.0,3,5000.0,16.29,0.19,3,612,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25,26133.0,4,5375.0,13.49,0.21,2,650,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
21,25869.0,0,3500.0,17.27,0.14,2,579,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,26244.0,0,3000.0,11.49,0.11,3,667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
24,25826.0,4,6000.0,12.21,0.23,2,655,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
22,26137.0,0,1625.0,16.89,0.06,3,596,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,26112.0,0,4500.0,11.01,0.17,2,608,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25,26559.0,2,8500.0,9.63,0.32,4,686,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
21,26887.0,0,7575.0,11.01,0.28,3,641,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
26,26792.0,4,5200.0,12.42,0.19,3,674,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
21,26946.0,0,7125.0,6.99,0.26,3,653,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
22,26711.0,0,4025.0,5.42,0.15,4,565,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
24,26769.0,2,8000.0,5.42,0.3,2,613,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
22,27119.0,0,4000.0,12.99,0.15,2,540,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
26,27046.0,5,4200.0,9.99,0.16,3,598,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
22,26902.0,4,1400.0,11.01,0.05,2,653,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
21,27072.0,0,3800.0,5.99,0.14,2,643,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,27201.0,0,6000.0,12.68,0.22,4,527,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
23,26954.0,0,2000.0,6.17,0.07,4,511,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
22,26872.0,3,8500.0,6.54,0.32,4,656,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
26,27097.0,2,1000.0,10.36,0.04,3,581,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,26747.0,1,2000.0,14.84,0.07,2,704,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
26,26764.0,4,3000.0,6.76,0.11,2,642,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
23,26678.0,1,4400.0,12.53,0.16,2,610,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
21,27289.0,0,1500.0,11.86,0.05,3,659,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
24,27558.0,0,4000.0,11.01,0.15,2,621,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
22,27472.0,1,7000.0,11.71,0.25,2,694,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
26,27309.0,1,3825.0,10.65,0.14,4,618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
25,27570.0,0,5875.0,6.62,0.21,2,680,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,27122.0,2,2400.0,11.71,0.09,3,612,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
23,27666.0,0,1550.0,7.49,0.06,2,658,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,27648.0,0,7350.0,7.66,0.27,2,635,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1
22,27385.0,3,7200.0,7.14,0.26,2,636,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,27463.0,0,3000.0,16.0,0.11,2,647,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
21,27493.0,2,4000.0,15.05,0.15,4,528,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,27178.0,0,8500.0,15.05,0.31,4,626,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
26,27124.0,2,7500.0,10.96,0.28,2,600,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
25,27635.0,2,7500.0,11.01,0.27,3,665,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
23,27475.0,4,6700.0,11.01,0.24,4,605,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
25,27780.0,1,6400.0,7.88,0.23,4,672,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
26,27364.0,0,5400.0,5.42,0.2,3,646,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
22,28529.0,1,2000.0,7.51,0.07,3,521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
22,28518.0,0,7125.0,11.71,0.25,3,564,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,28149.0,0,3000.0,8.9,0.11,2,626,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
23,28372.0,0,4800.0,5.79,0.17,2,667,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22,28527.0,2,8300.0,12.61,0.29,2,690,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
24,27861.0,0,4750.0,11.36,0.17,3,562,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
22,28613.0,0,3000.0,8.94,0.1,2,595,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
23,28773.0,0,6000.0,16.0,0.21,2,657,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
21,28410.0,0,7000.0,8.9,0.25,3,606,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
23,28492.0,2,3600.0,17.27,0.13,3,502,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
22,27969.0,0,4800.0,10.0,0.17,4,644,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,28786.0,0,3000.0,13.35,0.1,3,638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25,28595.0,2,4400.0,6.76,0.15,2,611,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
26,24756.0,8,500.0,11.41,0.02,2,659,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
21,23899.0,1,700.0,12.29,0.03,2,658,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
25,23980.0,6,750.0,12.29,0.03,4,645,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
23,13059.0,0,1000.0,10.37,0.08,2,541,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
22,13021.0,1,1000.0,14.74,0.08,4,610,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
21,13197.0,1,1000.0,13.43,0.08,4,722,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
22,29111.0,0,2400.0,9.63,0.08,4,668,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
21,28319.0,0,2400.0,12.21,0.08,4,628,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
23,13817.0,1,1000.0,10.25,0.07,2,667,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
22,14763.0,0,1000.0,12.99,0.07,4,540,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
22,15248.0,0,1000.0,13.98,0.07,4,547,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
23,15553.0,3,1000.0,14.65,0.06,3,602,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
25,15255.0,2,1000.0,10.65,0.07,2,611,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
21,14997.0,0,1000.0,13.98,0.07,2,669,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
22,15102.0,1,1000.0,13.57,0.07,3,559,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
22,16077.0,3,1000.0,14.96,0.06,3,642,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
24,17683.0,0,1000.0,10.0,0.06,4,562,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
21,18221.0,0,1000.0,16.29,0.05,4,559,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
23,28684.0,1,2000.0,11.11,0.07,3,591,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
21,28348.0,0,5000.0,11.01,0.18,3,506,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
22,18290.0,2,1000.0,16.69,0.05,3,623,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
22,18923.0,0,1000.0,14.3,0.05,3,599,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
21,20259.0,0,1000.0,15.65,0.05,3,604,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
24,21414.0,3,1000.0,11.49,0.05,3,619,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
22,20953.0,0,1000.0,13.48,0.05,4,665,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
24,24085.0,3,1000.0,12.53,0.04,4,655,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
24,29212.0,1,7000.0,10.38,0.24,3,607,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
25,29498.0,6,6000.0,14.59,0.2,2,664,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
22,29756.0,1,2500.0,9.91,0.08,2,592,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1
24,29659.0,4,7100.0,12.42,0.24,3,641,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
22,29833.0,1,8000.0,9.91,0.27,2,592,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
21,29833.0,0,3000.0,7.9,0.1,4,642,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
22,29781.0,2,5000.0,7.9,0.17,2,598,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22,29823.0,0,5000.0,14.65,0.17,4,655,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
25,29628.0,0,6000.0,13.49,0.2,3,636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,29875.0,0,1300.0,5.42,0.04,3,687,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
25,29750.0,0,5800.0,5.99,0.19,3,639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,29733.0,0,8000.0,15.62,0.27,2,639,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
22,29645.0,0,5000.0,10.99,0.17,4,624,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24,30073.0,2,8000.0,5.99,0.27,4,689,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
24,29678.0,1,2400.0,7.49,0.08,2,603,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
24,29776.0,4,4200.0,6.99,0.14,3,614,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
23,29966.0,1,5000.0,15.99,0.17,2,673,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,29640.0,3,4200.0,10.99,0.14,4,595,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
22,29540.0,0,2500.0,10.59,0.08,2,620,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
22,29906.0,0,6000.0,12.68,0.2,4,638,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
23,30483.0,0,8000.0,5.79,0.26,3,574,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
23,30059.0,0,1375.0,11.11,0.05,4,506,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
26,29960.0,5,5000.0,7.66,0.17,3,664,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
23,29749.0,0,5600.0,9.63,0.19,3,655,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
24,29643.0,3,3000.0,13.98,0.1,2,597,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
25,30184.0,4,1200.0,15.21,0.04,4,689,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,29110.0,2,3500.0,15.58,0.12,2,532,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
21,29879.0,0,7000.0,11.86,0.23,2,617,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
23,29589.0,2,2800.0,16.07,0.09,3,613,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24,29935.0,0,8500.0,15.7,0.28,2,606,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
26,29897.0,1,2100.0,13.11,0.07,3,674,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
26,29511.0,6,6000.0,10.99,0.2,4,578,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,29732.0,0,2500.0,7.14,0.08,2,661,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25,29847.0,0,5000.0,10.95,0.17,3,618,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
22,29678.0,0,5000.0,12.21,0.17,3,589,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
